,bbm_id,Name,Status,bbm_abr_2018,Conf,Pos,Age,g,Date,m,player_id,carmelo,pipm,espn,oRPM,dRPM,oPIPM,dPIPM,xORPM,xDRPM,oKPM,dKPM,bbm_abr_2019,tenure,MP,new_coach,USG,oRL,dRL,same_team,o_regress,d_regress
63,2711,Mike Conley,Injury Prone,MEM,2.0,PG,31.0,66.0,43389,2112.0,/players/c/conlemi01.html,Mike Conley,Mike Conley,Mike Conley,2.1,-1.0,2.63,0.1,0.81,0.32,1.766,-0.494,MEM,11.0,373.3,0.0,25.9,-0.7,-1.0,True,1.0,1.0
64,5675,Wendell Carter,,CHI,3.0,C,20.5,77.5,43389,2209.0,/players/c/cartewe01.html,Wendell Carter Jr.,Wendell Carter,Wendell Carter Jr.,-1.4,0.7,-1.0,0.69,-1.4,0.7,-1.36,0.699,,,0.0,,,-1.7,1.3,True,1.0,1.0
65,2730,Al Horford,Player Option,BOS,4.0,PF/C,32.4,73.0,43386,2263.0,/players/h/horfoal01.html,Al Horford,Al Horford,Al Horford,0.5,1.9,0.83,1.01,0.56,2.52,0.5509999999999999,1.9969999999999999,BOS,11.0,2956.6,0.0,18.4,-1.55,0.8,True,1.0,1.0
66,2846,Brook Lopez,New TeamUnrestricted Free AgentNew Contract,MIL,3.0,C,30.5,74.5,43386,2160.5,/players/l/lopezbr01.html,Brook Lopez,Brook Lopez,Brook Lopez,-0.4,0.8,0.35,0.52,-0.29,0.5,-0.20439999999999997,0.6138,LAL,10.0,1735.9,0.0,23.5,-1.7,1.3,False,0.7,0.9
67,2491,Lou Williams,Bust Candidate,LAC,3.0,PG/SG,32.0,79.0,43388,2370.0,/players/w/willilo02.html,Lou Williams,Lou Williams,Lou Williams,2.9,-3.1,2.46,-3.03,3.76,-3.95,3.114,-3.348,LAC,13.0,2587.6,0.0,29.8,-0.9,-0.9,True,1.0,1.0
68,3948,Dario Saric,,PHI,3.0,PF/C,24.5,78.5,43386,2394.5,/players/s/saricda01.html,Dario Saric,Dario Saric,Dario Saric,0.7,-0.3,0.36,-0.35,1.3,-0.59,0.8460000000000001,-0.39199999999999996,PHI,2.0,2637.0,0.0,20.9,-1.55,0.8,True,1.0,1.0
69,3920,Aaron Gordon,New Contract,ORL,4.0,SF/PF,23.1,75.5,43389,2529.5,/players/g/gordoaa01.html,Aaron Gordon,Aaron Gordon,Aaron Gordon,1.0,0.3,0.82,0.45,1.31,0.27,0.7525,0.2754,ORL,4.0,1913.6,1.0,24.7,-1.4,0.05,False,0.7,0.9
70,2851,JaVale McGee,Position BattleNew TeamUnrestricted Free AgentNew Contract,LAL,2.0,C,30.7,72.5,43389,1453.5,/players/m/mcgeeja01.html,JaVale McGee,JaVale McGee,JaVale McGee,-1.7,1.1,-0.6,0.48,-0.27,0.21,-0.8127,0.6939000000000002,GSW,10.0,782.1,0.0,19.2,-1.7,1.3,False,0.7,0.9
71,3939,Jusuf Nurkic,New Contract,POR,3.0,C,24.1,76.0,43389,2090.5,/players/n/nurkiju01.html,Jusuf Nurkic,Jusuf Nurkic,Jusuf Nurkic,-1.9,3.3,-1.64,1.99,-1.78,4.14,-1.8379999999999999,3.4209999999999994,POR,4.0,2181.4,0.0,26.4,-1.7,1.3,True,1.0,1.0
72,5449,Lonzo Ball,Position BattleBust Candidate,LAL,2.0,PG,21.0,73.5,43389,2352.0,/players/b/balllo01.html,Lonzo Ball,Lonzo Ball,Lonzo Ball,0.4,2.1,-0.35,2.36,-0.7,2.62,-0.0049999999999999975,2.282,LAL,1.0,1781.9,0.0,17.4,-0.7,-1.0,True,1.0,1.0
