bbm_id,bbm_name,spotrac,espn,bref,pipm,player_id,Draft,carmelo
5367,Marquese Chriss,Marquese Chriss,Marquese Chriss,Marquese Chriss,Marquese Chriss,/players/c/chrisma01.html,2016 (Pick 8),Marquese Chriss
5141,Ryan Broekhoff,Ryan Broekhoff,Ryan Broekhoff,Ryan Broekhoff,Ryan Broekhoff,/players/b/broekry01.html,2018,
3400,Tristan Thompson,Tristan Thompson,Tristan Thompson,Tristan Thompson,Tristan Thompson,/players/t/thomptr01.html,2011 (Pick 4),Tristan Thompson
2308,J.R. Smith,J.R. Smith,JR Smith,J.R. Smith,J.R. Smith,/players/s/smithjr01.html,2004 (Pick 18),JR Smith
1909,Vince Carter,Vince Carter,Vince Carter,Vince Carter,Vince Carter,/players/c/cartevi01.html,,Vince Carter
2430,Channing Frye,Channing Frye,Channing Frye,Channing Frye,Channing Frye,/players/f/fryech01.html,2005 (Pick 8),Channing Frye
4048,Khem Birch,Khem Birch,Khem Birch,Khem Birch,Khem Birch,/players/b/birchkh01.html,,Khem Birch
5398,Patrick McCaw,Patrick McCaw,Patrick McCaw,Patrick McCaw,Patrick McCaw,/players/m/mccawpa01.html,2016 (Pick 38),Patrick McCaw
5361,Ivica Zubac,Ivica Zubac,Ivica Zubac,Ivica Zubac,Ivica Zubac,/players/z/zubaciv01.html,2016 (Pick 32),Ivica Zubac
3589,Mike Scott,Mike Scott,Mike Scott,Mike Scott,Mike Scott,/players/s/scottmi01.html,2012 (Pick 43),Mike Scott
2002,Nene Hilario,Nene Hilario,Nene,Nene Hilario,Nene Hilario,/players/h/hilarne01.html,2002 (Pick 7),Nene
3018,Omri Casspi,Omri Casspi,Omri Casspi,Omri Casspi,Omri Casspi,/players/c/casspom01.html,2009 (Pick 23),Omri Casspi
5030,Jarell Martin,Jarell Martin,Jarell Martin,Jarell Martin,Jarell Martin,/players/m/martija01.html,2015 (Pick 25),Jarell Martin
5494,Sindarius Thornwell,Sindarius Thornwell,Sindarius Thornwell,Sindarius Thornwell,Sindarius Thornwell,/players/t/thornsi01.html,2017 (Pick 48),Sindarius Thornwell
5707,Allonzo Trier,Allonzo Trier,Allonzo Trier,Allonzo Trier,Allonzo Trier,/players/t/trieral01.html,2018,Allonzo Trier
5497,Monte Morris,Monte Morris,Monte Morris,Monte Morris,Monte Morris,/players/m/morrimo01.html,2017 (Pick 51),
2428,Raymond Felton,Raymond Felton,Raymond Felton,Raymond Felton,Raymond Felton,/players/f/feltora01.html,2005 (Pick 5),Raymond Felton
5482,Jonah Bolden,Jonah Bolden,Jonah Bolden,Jonah Bolden,Jonah Bolden,/players/b/boldejo01.html,2017 (Pick 36),
3375,Brandon Knight,Brandon Knight,Brandon Knight,Brandon Knight,Brandon Knight,/players/k/knighbr03.html,2011 (Pick 8),Brandon Knight
5440,Milos Teodosic,Milos Teodosic,Milos Teodosic,Milos Teodosic,Milos Teodosic,/players/t/teodomi01.html,2009,Milos Teodosic
5685,Bruce Brown,Bruce Brown,Bruce Brown,Bruce Brown,Bruce Brown,/players/b/brownbr01.html,2018 (Pick 42),Bruce Brown Jr.
3695,Solomon Hill,Solomon Hill,Solomon Hill,Solomon Hill,Solomon Hill,/players/h/hillso01.html,2013 (Pick 23),Solomon Hill
3759,Ian Clark,Ian Clark,Ian Clark,Ian Clark,Ian Clark,/players/c/clarkia01.html,,Ian Clark
5325,Wade Baldwin IV,Wade Baldwin,Wade Baldwin IV,Wade Baldwin,Wade Baldwin,/players/b/baldwwa01.html,2016 (Pick 17),
2455,Ian Mahinmi,Ian Mahinmi,Ian Mahinmi,Ian Mahinmi,Ian Mahinmi,/players/m/mahinia01.html,2005 (Pick 28),Ian Mahinmi
5661,Jaylen Adams,Jaylen Adams,Jaylen Adams,Jaylen Adams,Jaylen Adams,/players/a/adamsja01.html,2018,
3183,Lance Stephenson,Lance Stephenson,Lance Stephenson,Lance Stephenson,Lance Stephenson,/players/s/stephla01.html,2010 (Pick 40),Lance Stephenson
5368,Dragan Bender,Dragan Bender,Dragan Bender,Dragan Bender,Dragan Bender,/players/b/bendedr01.html,2016 (Pick 4),Dragan Bender
3379,Jon Leuer,Jon Leuer,Jon Leuer,Jon Leuer,Jon Leuer,/players/l/leuerjo01.html,2011 (Pick 40),Jon Leuer
5686,Jacob Evans,Jacob Evans,Jacob Evans,Jacob Evans,Jacob Evans,/players/e/evansja02.html,2018 (Pick 28),Jacob Evans
5724,Grayson Allen,Grayson Allen,Grayson Allen,Grayson Allen,Grayson Allen,/players/a/allengr01.html,2018 (Pick 21),Grayson Allen
5722,Chimezie Metu,Chimezie Metu,Chimezie Metu,Chimezie Metu,Chimezie Metu,/players/m/metuch01.html,2018 (Pick 49),Chimezie Metu
3540,Meyers Leonard,Meyers Leonard,Meyers Leonard,Meyers Leonard,Meyers Leonard,/players/l/leoname01.html,2012 (Pick 11),Meyers Leonard
5665,Rodions Kurucs,Rodions Kurucs,Rodions Kurucs,Rodions Kurucs,Rodions Kurucs,/players/k/kurucro01.html,2018 (Pick 40),Rodions Kurucs
5682,Michael Porter,Michael Porter Jr.,Michael Porter Jr.,Michael Porter,Michael Porter,/players/p/portemi01.html,2018 (Pick 14),Michael Porter Jr.
5678,Ray Spalding,Ray Spalding,Ray Spalding,Ray Spalding,Ray Spalding,/players/s/spaldra01.html,2018 (Pick 56),Ray Spalding
